"ID","Numero","FIFADisplayName","Country","LastName","FirstName"
1,1,"Nahuel GUZMAN","Argentina","GUZMÁN","Nahuel Ignacio"
2,2,"Gabriel MERCADO","Argentina","MERCADO","Gabriel Ivan"
3,3,"Nicolas TAGLIAFICO","Argentina","TAGLIAFICO","Nicolás Alejandro"
4,4,"Cristian ANSALDI","Argentina","ANSALDI","Cristian Daniel"
5,5,"Lucas BIGLIA","Argentina","BIGLIA","Lucas Rodrigo"
6,6,"Federico FAZIO","Argentina","FAZIO","Federico Julián"
7,7,"Ever BANEGA","Argentina","BANEGA","Ever Maximiliano David"
8,8,"Marcos ACUNA","Argentina","ACUÑA","Marcos Javier"
9,9,"Gonzalo HIGUAIN","Argentina","HIGUAIN","Gonzalo Gerardo"
10,10,"Lionel MESSI","Argentina","MESSI","Lionel Andres"
11,11,"Angel DI MARIA","Argentina","DI MARIA","Angel Fabian"
12,12,"Franco ARMANI","Argentina","ARMANI","Franco"
13,13,"Maximiliano MEZA","Argentina","MEZA","Maximiliano Eduardo"
14,14,"Javier MASCHERANO","Argentina","MASCHERANO","Javier Alejandro"
15,15,"Enzo PEREZ","Argentina","PEREZ","Enzo Nicolas"
16,16,"Marcos ROJO","Argentina","ROJO","Faustino Marcos Alberto"
17,17,"Nicolas OTAMENDI","Argentina","OTAMENDI","Nicolas Hernan Gonzalo"
18,18,"Eduardo SALVIO","Argentina","SALVIO","Eduardo Antonio"
19,19,"Sergio AGUERO","Argentina","AGÜERO","Sergio Leonel"
20,20,"Giovani LO CELSO","Argentina","LO CELSO","Giovani"
21,21,"Paulo DYBALA","Argentina","DYBALA","Paulo Exequiel"
22,22,"Cristian PAVON","Argentina","PAVÓN","Cristian David"
23,23,"Wilfredo CABALLERO","Argentina","CABALLERO","Wilfredo Daniel"
24,1,"Mathew RYAN","Australia","RYAN","Mathew David"
25,2,"Milos DEGENEK","Australia","DEGENEK","Milos"
26,3,"James MEREDITH","Australia","MEREDITH","James Gregory"
27,4,"Tim CAHILL","Australia","CAHILL","Timothy Filiga"
28,5,"Mark MILLIGAN","Australia","MILLIGAN","Mark Daniel"
29,6,"Matthew JURMAN","Australia","JURMAN","Matthew John"
30,7,"Mathew LECKIE","Australia","LECKIE","Mathew Allan"
31,8,"Massimo LUONGO","Australia","LUONGO","Massimo Corey"
32,9,"Tomi JURIC","Australia","JURIC","Tomi"
33,10,"Robbie KRUSE","Australia","KRUSE","Robbie Thomas"
34,11,"Andrew NABBOUT","Australia","NABBOUT","Andrew"
35,12,"Brad JONES","Australia","JONES","Bradley Scott"
36,13,"Aaron MOOY","Australia","MOOY","Aaron Frank"
37,14,"Jamie MacLAREN","Australia","MACLAREN","Jamie"
38,15,"Mile JEDINAK","Australia","JEDINAK","Michael John"
39,16,"Aziz BEHICH","Australia","BEHICH","Aziz"
40,17,"Daniel ARZANI","Australia","ARZANI","Daniel"
41,18,"Danny VUKOVIC","Australia","VUKOVIC","Daniel"
42,19,"Joshua RISDON","Australia","RISDON","Joshua Robert"
43,20,"Trent SAINSBURY","Australia","SAINSBURY","Trent Lucas"
44,21,"Dimitrios PETRATOS","Australia","PETRATOS","Dimitrios"
45,22,"Jackson IRVINE","Australia","IRVINE","Jackson Alexander"
46,23,"Tom ROGIC","Australia","ROGIC","Tomas Petar"
47,1,"Thibaut COURTOIS","Belgium","COURTOIS","Thibaut Nicolas"
48,2,"Toby ALDERWEIRELD","Belgium","ALDERWEIRELD","Toby Albertine"
49,3,"Thomas VERMAELEN","Belgium","VERMAELEN","Thomas"
50,4,"Vincent KOMPANY","Belgium","KOMPANY","Vincent Jean"
51,5,"Jan VERTONGHEN","Belgium","VERTONGHEN","Jan Bert"
52,6,"Axel WITSEL","Belgium","WITSEL","Axel Laurent"
53,7,"Kevin DE BRUYNE","Belgium","DE BRUYNE","Kevin"
54,8,"Marouane FELLAINI","Belgium","FELLAINI-BAKKIOUI","Marouane"
55,9,"Romelu LUKAKU","Belgium","LUKAKU BOLINGOLI","Romelu"
56,10,"Eden HAZARD","Belgium","HAZARD","Eden Michael"
57,11,"Yannick CARRASCO","Belgium","FERREIRA CARRASCO","Yannick"
58,12,"Simon MIGNOLET","Belgium","MIGNOLET","Simon Luc"
59,13,"Koen CASTEELS","Belgium","CASTEELS","Koen"
60,14,"Dries MERTENS","Belgium","MERTENS","Dries"
61,15,"Thomas MEUNIER","Belgium","MEUNIER","Thomas"
62,16,"Thorgan HAZARD","Belgium","HAZARD","Thorgan Ganael Francis"
63,17,"Youri TIELEMANS","Belgium","TIELEMANS","Youri"
64,18,"Adnan JANUZAJ","Belgium","JANUZAJ","Adnan"
65,19,"Moussa DEMBELE","Belgium","DEMBELE","Moussa Sidi Yaya"
66,20,"Dedryck BOYATA","Belgium","BOYATA","Dedryck Anga"
67,21,"Michy BATSHUAYI","Belgium","BATSHUAYI TUNGA","Michy"
68,22,"Nacer CHADLI","Belgium","CHADLI","Nacer"
69,23,"Leander DENDONCKER","Belgium","DENDONCKER","Leander"
70,1,"ALISSON","Brazil","BECKER","Alisson Ramses"
71,2,"THIAGO SILVA","Brazil","EMILIANO DA SILVA","Thiago"
72,3,"MIRANDA","Brazil","MIRANDA DE SOUZA FILHO","Joao"
73,4,"PEDRO GEROMEL","Brazil","TONON GEROMEL","Pedro"
74,5,"CASEMIRO","Brazil","CASIMIRO","Carlos Henrique"
75,6,"FILIPE LUIS","Brazil","KASMIRSKI","Filipe Luis"
76,7,"DOUGLAS COSTA","Brazil","COSTA DE SOUZA","Douglas"
77,8,"RENATO AUGUSTO","Brazil","SOARES DE OLIVEIRA AUGUSTO","Renato"
78,9,"GABRIEL JESUS","Brazil","DE JESUS","Gabriel Fernando"
79,10,"NEYMAR","Brazil","DA SILVA SANTOS JUNIOR","Neymar"
80,11,"PHILIPPE COUTINHO","Brazil","COUTINHO CORREIA","Philippe"
81,12,"MARCELO","Brazil","VIEIRA DA SILVA JUNIOR","Marcelo"
82,13,"MARQUINHOS","Brazil","AOAS CORREA","Marcos"
83,14,"DANILO","Brazil","DA SILVA","Danilo Luiz"
84,15,"PAULINHO","Brazil","BEZERRA MACIEL JÚNIOR","José Paulo"
85,16,"CASSIO","Brazil","RAMOS","Cassio"
86,17,"FERNANDINHO","Brazil","ROZA","Fernando Luiz"
87,18,"FRED","Brazil","RODRIGUES DE PAULA SANTOS","Frederico"
88,19,"WILLIAN","Brazil","BORGES DA SILVA","Willian"
89,20,"ROBERTO FIRMINO","Brazil","BARBOSA DE OLIVEIRA","Roberto Firmino"
90,21,"TAISON","Brazil","BARCELLOS FREDA","Taison"
91,22,"FAGNER","Brazil","CONSERVA LEMOS","Fagner"
92,23,"EDERSON","Brazil","SANTANA DE MORAES","Ederson"
93,1,"David OSPINA","Colombia","OSPINA RAMIREZ","David"
94,2,"Cristian ZAPATA","Colombia","ZAPATA VALENCIA","Cristian Eduardo"
95,3,"Oscar MURILLO","Colombia","MURILLO MURILLO","Oscar Fabian"
96,4,"Santiago ARIAS","Colombia","ARIAS NARANJO","Santiago"
97,5,"Wilmar BARRIOS","Colombia","BARRIOS TERAN","Wilmar Enrique"
98,6,"Carlos SANCHEZ","Colombia","SANCHEZ MORENO","Carlos Alberto"
99,7,"Carlos BACCA","Colombia","BACCA AHUMADA","Carlos Arturo"
100,8,"Abel AGUILAR","Colombia","AGUILAR TAPIAS","Abel Enrique"
101,9,"Radamel FALCAO","Colombia","GARCIA ZARATE","Radamel Falcao"
102,10,"James RODRIGUEZ","Colombia","RODRIGUEZ RUBIO","James David"
103,11,"Juan CUADRADO","Colombia","CUADRADO BELLO","Juan Guillermo"
104,12,"Camilo VARGAS","Colombia","VARGAS GIL","Camilo Andres"
105,13,"Yerry MINA","Colombia","MINA GONZALEZ","Yerry Fernando"
106,14,"Luis MURIEL","Colombia","MURIEL FRUTO","Luis Fernando"
107,15,"Mateus URIBE","Colombia","URIBE VILLA","Andres Mateus"
108,16,"Jefferson LERMA","Colombia","LERMA SOLIS","Jefferson Andrés"
109,17,"Johan MOJICA","Colombia","MOJICA PALACIO","Johan Andrés"
110,18,"Farid DIAZ","Colombia","DIAZ RHENALS","Farid Alfonso"
111,19,"Miguel BORJA","Colombia","BORJA HERNANDEZ","Miguel Angel"
112,20,"Juan QUINTERO","Colombia","QUINTERO PANIAGUA","Juan Fernando"
113,21,"Jose IZQUIERDO","Colombia","IZQUIERDO MENA","José Heriberto"
114,22,"Jose CUADRADO","Colombia","CUADRADO ROMERO","José Fernando"
115,23,"Davinson SANCHEZ","Colombia","SANCHEZ MINA","Davinson"
116,1,"Keylor NAVAS","Costa Rica","NAVAS GAMBOA","Keilor Antonio"
117,2,"Johnny ACOSTA","Costa Rica","ACOSTA ZAMORA","Jhonny"
118,3,"Giancarlo GONZALEZ","Costa Rica","GONZALEZ CASTRO","Giancarlo"
119,4,"Ian SMITH","Costa Rica","SMITH QUIROS","Ian Rey"
120,5,"Celso BORGES","Costa Rica","BORGES MORA","Celso"
121,6,"Oscar DUARTE","Costa Rica","DUARTE GAITAN","Oscar Esau"
122,7,"Christian BOLANOS","Costa Rica","BOLAÑOS NAVARRO","Christian"
123,8,"Bryan OVIEDO","Costa Rica","OVIEDO JIMENEZ","Bryan Josue"
124,9,"Daniel COLINDRES","Costa Rica","COLINDRES SOLERA","Daniel"
125,10,"Bryan RUIZ","Costa Rica","RUIZ GONZALEZ","Bryan Jafet"
126,11,"Johan VENEGAS","Costa Rica","VENEGAS ULLOA","Johan Alberto"
127,12,"Joel CAMPBELL","Costa Rica","CAMPBELL SAMUELS","Joel Nathaniel"
128,13,"Rodney WALLACE","Costa Rica","WALLACE BURNS","Rodney"
129,14,"Randall AZOFEIFA","Costa Rica","AZOFEIFA CORRALES","Randall"
130,15,"Francisco CALVO","Costa Rica","CALVO QUESADA","Francisco Javier"
131,16,"Cristian GAMBOA","Costa Rica","GAMBOA LUNA","Cristian Esteban"
132,17,"Yeltsin TEJEDA","Costa Rica","TEJEDA VALVERDE","Yeltsin Ignacio"
133,18,"Patrick PEMBERTON","Costa Rica","PEMBERTON BERNARD","Patrick Alberto"
134,19,"Kendall WASTON","Costa Rica","WASTON MANLEY","Kendall Jamaal"
135,20,"David GUZMAN","Costa Rica","GUZMAN PEREZ","David"
136,21,"Marcos URENA","Costa Rica","UREÑA PORRAS","Marcos Danilo"
137,22,"Ronald MATARRITA","Costa Rica","MATARRITA ULATE","Ronald Alberto"
138,23,"Leonel MOREIRA","Costa Rica","MOREIRA LEDEZMA","Leonel Gerardo"
139,1,"Dominik LIVAKOVIC","Croatia","LIVAKOVIĆ","Dominik"
140,2,"Sime VRSALJKO","Croatia","VRSALJKO","Šime"
141,3,"Ivan STRINIC","Croatia","STRINIĆ","Ivan"
142,4,"Ivan PERISIC","Croatia","PERIŠIĆ","Ivan"
143,5,"Vedran CORLUKA","Croatia","ĆORLUKA","Vedran"
144,6,"Dejan LOVREN","Croatia","LOVREN","Dejan"
