"ID","ShirtName","DOB","POS","Club","Height","Caps","Goals"
1,"GUZMÁN","10.02.1986","GK","Tigres (MEX)",192,6,0
2,"MERCADO","18.03.1987","DF","Sevilla FC (ESP)",181,20,3
3,"TAGLIAFICO","31.08.1992","DF","Ajax (NED)",169,4,0
4,"ANSALDI","20.09.1986","DF","Torino (ITA)",181,5,1
5,"BIGLIA","30.01.1986","MF","AC Milan (ITA)",175,57,1
6,"FAZIO","17.03.1987","DF","AS Roma (ITA)",199,9,1
7,"BANEGA","29.06.1988","MF","Sevilla FC (ESP)",175,62,6
8,"ACUÑA","28.10.1991","DF","Sporting CP (POR)",172,10,0
9,"HIGUAÍN","10.12.1987","FW","Juventus (ITA)",184,72,31
10,"MESSI","24.06.1987","FW","FC Barcelona (ESP)",170,124,64
11,"DI MARÍA","14.02.1988","MF","Paris Saint-Germain (FRA)",178,94,19
12,"ARMANI","16.10.1986","GK","River Plate (ARG)",189,0,0
13,"MEZA","15.12.1992","MF","Independiente (ARG)",180,2,0
14,"MASCHERANO","08.06.1984","DF","Hebei Huabei (CHN)",174,143,3
15,"PÉREZ","22.02.1986","MF","River Plate (ARG)",178,23,1
16,"MARCOS ROJO","20.03.1990","DF","Manchester United (ENG)",189,56,2
17,"OTAMENDI","12.02.1988","DF","Manchester City (ENG)",181,54,4
18,"SALVIO","13.07.1990","DF","Benfica (POR)",167,9,0
19,"KUN AGUERO","02.06.1988","FW","Manchester City (ENG)",172,85,37
20,"LO CELSO","09.04.1996","MF","Paris Saint-Germain (FRA)",177,5,0
21,"DYBALA","15.11.1993","FW","Juventus (ITA)",177,12,0
22,"PAVÓN","21.01.1996","MF","Boca Juniors (ARG)",169,5,0
23,"CABALLERO","28.09.1981","GK","Chelsea (ENG)",186,3,0
24,"RYAN","08.04.1992","GK","Brighton (ENG)",184,44,0
25,"DEGENEK","28.04.1994","DF","Yokohama F Marinos (JPN)",187,18,0
26,"MEREDITH","05.04.1988","DF","Millwall (ENG)",179,2,0
27,"CAHILL","06.12.1979","FW","Millwall (ENG)",180,106,50
28,"MILLIGAN","04.08.1985","DF","Al Ahli (KSA)",178,68,6
29,"JURMAN","08.12.1989","DF","Suwon Samsung Bluewings (KOR)",190,4,0
30,"LECKIE","04.02.1991","FW","Hertha BSC (GER)",181,53,8
31,"LUONGO","25.09.1992","MF","Queens Park Rangers (ENG)",176,36,5
32,"JURIC","22.07.1991","FW","FC Luzern (SUI)",190,35,8
33,"KRUSE","05.10.1988","FW","VfL Bochum (GER)",180,64,5
34,"NABBOUT","17.12.1992","FW","Urawa Reds (JPN)",178,4,1
35,"JONES","19.03.1982","GK","Feyenoord (NED)",193,6,0
36,"MOOY","15.09.1990","MF","Huddersfield (ENG)",173,34,5
37,"MACLAREN","29.07.1993","FW","Hibernian (SCO)",178,6,0
38,"JEDINAK","03.08.1984","MF","Aston Villa (ENG)",188,76,18
39,"BEHICH","16.12.1990","DF","Bursaspor (TUR)",170,23,2
40,"ARZANI","04.01.1999","FW","Melbourne City Football Club (AUS)",171,2,1
41,"VUKOVIC","27.03.1985","GK","Racing Genk (BEL)",187,1,0
42,"RISDON","27.07.1992","DF","WS Wanderers FC (AUS)",169,8,0
43,"SAINSBURY","05.01.1992","DF","Grasshoppers (SUI)",183,35,3
44,"PETRATOS","10.11.1992","FW","Newcastle Jets (AUS)",176,2,0
45,"IRVINE","07.03.1993","MF","Hull City (ENG)",180,19,2
46,"ROGIC","16.12.1992","MF","Celtic (SCO)",189,37,7
47,"COURTOIS","11.05.1992","GK","Chelsea (ENG)",199,58,0
48,"ALDERWEIRELD","02.03.1989","DF","Tottenham Hotspur (ENG)",186,77,3
49,"VERMAELEN","14.11.1985","DF","FC Barcelona (ESP)",183,66,1
50,"KOMPANY","10.04.1986","DF","Manchester City (ENG)",190,77,4
51,"VERTONGHEN","24.04.1987","DF","Tottenham Hotspur (ENG)",189,102,8
52,"WITSEL","12.01.1989","MF","Tianjin Quanjian Football Club (CHN)",186,90,9
53,"DE BRUYNE","28.06.1991","MF","Manchester City (ENG)",181,62,14
54,"FELLAINI","22.11.1987","MF","Manchester United (ENG)",194,82,17
55,"R. LUKAKU","13.05.1993","FW","Manchester United (ENG)",190,69,36
56,"E. HAZARD","07.01.1991","FW","Chelsea (ENG)",173,86,22
57,"CARRASCO","04.09.1993","MF","Dalian Yifang Football Club (CHN)",180,26,5
58,"MIGNOLET","06.03.1988","GK","Liverpool (ENG)",193,21,0
59,"CASTEELS","25.06.1992","GK","VfL Wolfsburg (GER)",197,0,0
60,"MERTENS","06.05.1987","FW","SSC Napoli (ITA)",169,69,14
61,"MEUNIER","12.09.1991","DF","Paris Saint-Germain (FRA)",190,25,5
62,"T. HAZARD","29.03.1993","MF","Borussia Moenchengladbach (GER)",174,11,1
63,"TIELEMANS","07.05.1997","MF","AS Monaco (FRA)",176,9,0
64,"JANUZAJ","05.02.1995","FW","Real Sociedad (ESP)",180,8,0
65,"DEMBELE","16.07.1987","MF","Tottenham Hotspur (ENG)",185,76,5
66,"BOYATA","28.11.1990","DF","Celtic (SCO)",188,7,0
67,"BATSHUAYI","02.10.1993","FW","Borussia Dortmund (GER)",185,16,7
68,"CHADLI","02.08.1989","MF","West Bromwich Albion FC (ENG)",187,45,5
69,"DENDONCKER","15.04.1995","DF","Anderlecht (BEL)",188,5,0
70,"A. BECKER","02.10.1992","GK","AS Roma (ITA)",193,26,0
71,"T. SILVA","22.09.1984","DF","Paris Saint-Germain (FRA)",183,71,5
72,"MIRANDA","07.09.1984","DF","Internazionale (ITA)",186,47,2
73,"GEROMEL","21.09.1985","DF","Grêmio (BRA)",190,2,0
74,"CASEMIRO","23.02.1992","MF","Real Madrid (ESP)",185,24,0
75,"FILIPE LUIS","09.08.1985","DF","Atlético Madrid (ESP)",182,33,2
76,"D. COSTA","14.09.1990","FW","Juventus (ITA)",182,25,3
77,"R. AUGUSTO","08.02.1988","MF","Beijing Guoan (CHN)",186,28,5
78,"G. JESUS","03.04.1997","FW","Manchester City (ENG)",175,17,10
79,"NEYMAR JR","05.02.1992","FW","Paris Saint-Germain (FRA)",175,85,55
80,"P. COUTINHO","12.06.1992","MF","FC Barcelona (ESP)",172,36,10
81,"MARCELO","12.05.1988","DF","Real Madrid (ESP)",174,55,6
82,"MARQUINHOS","14.05.1994","DF","Paris Saint-Germain (FRA)",183,26,0
83,"DANILO","15.07.1991","DF","Manchester City (ENG)",184,18,0
84,"PAULINHO","25.07.1988","MF","FC Barcelona (ESP)",181,50,12
85,"CASSIO","06.06.1987","GK","SC Corinthians (BRA)",195,1,0
86,"FERNANDINHO","04.05.1985","MF","Manchester City (ENG)",179,44,2
87,"FRED","05.03.1993","MF","Shakhtar Donetsk (UKR)",169,8,0
88,"WILLIAN","09.08.1988","MF","Chelsea (ENG)",175,57,8
89,"FIRMINO","02.10.1991","FW","Liverpool (ENG)",181,21,6
90,"TAISON","13.01.1988","FW","Shakhtar Donetsk (UKR)",172,8,1
91,"FAGNER","11.06.1989","DF","SC Corinthians (BRA)",168,4,0
92,"EDERSON","17.08.1993","GK","Manchester City (ENG)",188,1,0
93,"OSPINA","31.08.1988","GK","Arsenal (ENG)",183,83,0
94,"C. ZAPATA","30.09.1986","DF","AC Milan (ITA)",187,52,2
95,"O. MURILLO","18.04.1988","DF","CF Pachuca (MEX)",184,13,0
96,"ARIAS","13.01.1992","DF","PSV (NED)",177,41,0
97,"BARRIOS","16.10.1993","MF","Boca Juniors (ARG)",178,10,0
98,"C. SANCHEZ","06.02.1986","MF","RCD Espanyol (ESP)",182,80,0
99,"BACCA","08.09.1986","FW","Villarreal CF (ESP)",181,45,14
100,"AGUILAR T.","06.01.1985","MF","Cali (COL)",185,69,8
101,"FALCAO","10.02.1986","FW","AS Monaco (FRA)",177,65,29
102,"JAMES","12.07.1991","MF","Bayern München (GER)",180,63,21
103,"CUADRADO","26.05.1988","MF","Juventus (ITA)",179,69,7
104,"C. VARGAS","09.03.1989","GK","Cali (COL)",185,5,0
105,"Y. MINA","23.09.1994","DF","FC Barcelona (ESP)",194,12,3
106,"L. MURIEL","16.04.1991","FW","Sevilla FC (ESP)",178,18,2
107,"M. URIBE","21.03.1991","MF","America (MEX)",182,8,0
108,"J. LERMA","25.10.1994","MF","Levante UD (ESP)",179,5,0
109,"J. MOJICA","21.08.1992","DF","Girona Futbol Club (ESP)",185,4,1
110,"F. DIAZ","20.07.1983","DF","Olimpia (PAR)",170,13,0
